Nom,Prénom,Date de naissance,Classe,Email,Téléphone
Dupont,Martin,2012-03-15,6ème A,martin.dupont@example.com,0612345678
Laurent,Sophie,2012-05-22,6ème A,sophie.laurent@example.com,0623456789
Moreau,Lucas,2012-01-08,6ème A,lucas.moreau@example.com,0634567890
Bernard,Emma,2012-07-14,6ème A,emma.bernard@example.com,0645678901
Petit,Thomas,2012-11-30,6ème A,thomas.petit@example.com,0656789012
Robert,Léa,2012-04-18,6ème B,lea.robert@example.com,0667890123
Richard,Jules,2012-09-25,6ème B,jules.richard@example.com,0678901234
Dubois,Marie,2012-02-11,6ème B,marie.dubois@example.com,0689012345
Leroy,Paul,2012-06-07,6ème B,paul.leroy@example.com,0690123456
Rousseau,Chloé,2012-12-19,6ème B,chloe.rousseau@example.com,0601234567
